NAME,STATE,2000 POP.,1990 POP.
COOK COUNTY,GA,15771,13456
COWETA COUNTY,GA,89215,53853
CRAWFORD COUNTY,GA,12495,8991
CRISP COUNTY,GA,21996,20011
DADE COUNTY,GA,15154,13147
DAWSON COUNTY,GA,15999,9429
DECATUR COUNTY,GA,28240,25511
DEKALB COUNTY,GA,665865,545837
DODGE COUNTY,GA,19171,17607
DOOLY COUNTY,GA,11525,9901
DOUGHERTY COUNTY,GA,96065,96311
DOUGLAS COUNTY,GA,92174,71120
EARLY COUNTY,GA,12354,11854
ECHOLS COUNTY,GA,3754,2334
EFFINGHAM COUNTY,GA,37535,25687
ELBERT COUNTY,GA,20511,18949
EMANUEL COUNTY,GA,21837,20546
EVANS COUNTY,GA,10495,8724
FANNIN COUNTY,GA,19798,15992
FAYETTE COUNTY,GA,91263,62415
FLOYD COUNTY,GA,90565,81251
FORSYTH COUNTY,GA,98407,44083
FRANKLIN COUNTY,GA,20285,16650
FULTON COUNTY,GA,816006,648951
GILMER COUNTY,GA,23456,13368
GLASCOCK COUNTY,GA,2556,2357
GLYNN COUNTY,GA,67568,62496
GORDON COUNTY,GA,44104,35072
GRADY COUNTY,GA,23659,20279
GREENE COUNTY,GA,14406,11793
GWINNETT COUNTY,GA,588448,352910
HABERSHAM COUNTY,GA,35902,27621
HALL COUNTY,GA,139277,95428
HANCOCK COUNTY,GA,10076,8908
HARALSON COUNTY,GA,25690,21966
HARRIS COUNTY,GA,23695,17788
HART COUNTY,GA,22997,19712
HEARD COUNTY,GA,11012,8628
HENRY COUNTY,GA,119341,58741
HOUSTON COUNTY,GA,110765,89208
IRWIN COUNTY,GA,9931,8649
JACKSON COUNTY,GA,41589,30005
JASPER COUNTY,GA,11426,8453
JEFF DAVIS COUNTY,GA,12684,12032
JEFFERSON COUNTY,GA,17266,17408
JENKINS COUNTY,GA,8575,8247
JOHNSON COUNTY,GA,8560,8329
JONES COUNTY,GA,23639,20739
LAMAR COUNTY,GA,15912,13038
